cuda
Loading datasets
96268
Loading existing ConvGRU model
Loading existing readout
| epoch   0 | running loss 5183.6878 | train accuracy 0.00000 |match accuracy 0.07051 | mismatch accuracy 0.07263 |control image alignment 0.07410 |control audio alignment 0.09473
| epoch   1 | running loss 2973.2023 | train accuracy 0.00000 |match accuracy 0.41241 | mismatch accuracy 0.70367 |control image alignment 0.41738 |control audio alignment 0.10071
| epoch   2 | running loss 2475.3939 | train accuracy 0.00000 |match accuracy 0.44693 | mismatch accuracy 0.83301 |control image alignment 0.44490 |control audio alignment 0.09896
| epoch   3 | running loss 2258.7465 | train accuracy 0.00000 |match accuracy 0.45466 | mismatch accuracy 0.88291 |control image alignment 0.47022 |control audio alignment 0.09951
| epoch   4 | running loss 2119.6259 | train accuracy 0.00000 |match accuracy 0.46405 | mismatch accuracy 0.90325 |control image alignment 0.47473 |control audio alignment 0.10098
| epoch   5 | running loss 2027.2562 | train accuracy 0.00000 |match accuracy 0.47390 | mismatch accuracy 0.91411 |control image alignment 0.47749 |control audio alignment 0.10448
| epoch   6 | running loss 1975.5265 | train accuracy 0.00000 |match accuracy 0.47169 | mismatch accuracy 0.92856 |control image alignment 0.47851 |control audio alignment 0.10025
| epoch   7 | running loss 1913.2443 | train accuracy 0.00000 |match accuracy 0.46930 | mismatch accuracy 0.93731 |control image alignment 0.48615 |control audio alignment 0.10108
| epoch   8 | running loss 1881.3229 | train accuracy 0.00000 |match accuracy 0.48458 | mismatch accuracy 0.94007 |control image alignment 0.48697 |control audio alignment 0.09601
| epoch   9 | running loss 1851.9236 | train accuracy 0.00000 |match accuracy 0.47961 | mismatch accuracy 0.94495 |control image alignment 0.47841 |control audio alignment 0.10034
| epoch  10 | running loss 1827.4837 | train accuracy 0.00000 |match accuracy 0.47712 | mismatch accuracy 0.94458 |control image alignment 0.49406 |control audio alignment 0.10467
| epoch  11 | running loss 1800.5246 | train accuracy 0.00000 |match accuracy 0.47851 | mismatch accuracy 0.94891 |control image alignment 0.48707 |control audio alignment 0.09160
| epoch  12 | running loss 1772.3171 | train accuracy 0.00000 |match accuracy 0.47390 | mismatch accuracy 0.94965 |control image alignment 0.49333 |control audio alignment 0.10098
| epoch  13 | running loss 1747.2323 | train accuracy 0.00000 |match accuracy 0.47786 | mismatch accuracy 0.95296 |control image alignment 0.48412 |control audio alignment 0.09896
| epoch  14 | running loss 1731.7076 | train accuracy 0.00000 |match accuracy 0.48799 | mismatch accuracy 0.95314 |control image alignment 0.48835 |control audio alignment 0.09914
| epoch  15 | running loss 1710.3506 | train accuracy 0.00000 |match accuracy 0.48292 | mismatch accuracy 0.95250 |control image alignment 0.48688 |control audio alignment 0.09841
| epoch  16 | running loss 1698.2560 | train accuracy 0.00000 |match accuracy 0.47795 | mismatch accuracy 0.95434 |control image alignment 0.48219 |control audio alignment 0.10154
| epoch  17 | running loss 1683.5913 | train accuracy 0.00000 |match accuracy 0.48440 | mismatch accuracy 0.95627 |control image alignment 0.48642 |control audio alignment 0.10052
| epoch  18 | running loss 1673.3081 | train accuracy 0.00000 |match accuracy 0.48624 | mismatch accuracy 0.96124 |control image alignment 0.48909 |control audio alignment 0.09896
| epoch  19 | running loss 1663.9717 | train accuracy 0.00000 |match accuracy 0.48117 | mismatch accuracy 0.95802 |control image alignment 0.47869 |control audio alignment 0.10071
| epoch  20 | running loss 1653.6222 | train accuracy 0.00000 |match accuracy 0.48458 | mismatch accuracy 0.95637 |control image alignment 0.48016 |control audio alignment 0.10365
